FlightNumber,Airline,DepartureAirport,ArrivalAirport,ScheduledDepartureTime,ActualDepartureTime,DelayDuration,DelayCause,Date,PassengerImpact,FlightStatus
AA865,United Airlines,JFK,LAX,16-03-2025 15:15,16-03-2025 18:15,180.0,Weather,16-03-2025,Major impact,Delayed
AA791,Delta Air Lines,SFO,LAX,01-05-2025 18:15,01-05-2025 18:20,5.0,Security,01-05-2025,Minimal,Delayed
AS697,JetBlue Airways,MIA,DEN,30-04-2025 08:15,30-04-2025 09:15,60.0,Technical,30-04-2025,Moderate,Delayed
DL787,Alaska Airlines,ORD,MIA,10-02-2025 02:00,10-02-2025 02:10,10.0,Weather,10-02-2025,Minimal,Delayed
JB371,Delta Air Lines,DEN,LAX,23-04-2025 07:30,23-04-2025 09:30,120.0,Security,23-04-2025,Missed connections,Delayed
DL859,Southwest Airlines,MIA,SFO,13-03-2025 00:00,13-03-2025 00:15,15.0,Security,13-03-2025,Minimal,Delayed
UA696,JetBlue Airways,ATL,SEA,17-01-2025 01:30,17-01-2025 01:35,5.0,Crew,17-01-2025,Minimal,Delayed
AS984,Alaska Airlines,DFW,DEN,21-01-2025 22:00,21-01-2025 22:05,5.0,Late Aircraft,21-01-2025,Minimal,Delayed
SW458,United Airlines,DFW,ORD,04-01-2025 21:15,04-01-2025 22:00,45.0,Weather,04-01-2025,Moderate,Delayed
UA282,JetBlue Airways,ORD,JFK,14-01-2025 19:45,14-01-2025 20:45,60.0,Late Aircraft,14-01-2025,Moderate,Delayed
JB218,Southwest Airlines,PHX,DFW,02-02-2025 01:45,02-02-2025 04:45,180.0,Technical,02-02-2025,Missed connections,Delayed
AS438,JetBlue Airways,DEN,LAX,03-04-2025 09:30,03-04-2025 10:30,60.0,Late Aircraft,03-04-2025,Moderate,Delayed
JB230,Delta Air Lines,SFO,SEA,28-03-2025 23:15,29-03-2025 00:00,45.0,Late Aircraft,28-03-2025,Moderate,Delayed
AA411,United Airlines,DFW,SEA,11-04-2025 18:30,11-04-2025 20:30,120.0,Technical,11-04-2025,Missed connections,Delayed
AS273,Alaska Airlines,LAX,DEN,07-03-2025 21:30,07-03-2025 22:00,30.0,Crew,07-03-2025,Moderate,Delayed
DL250,American Airlines,JFK,ORD,02-03-2025 19:00,02-03-2025 19:30,30.0,Late Aircraft,02-03-2025,Moderate,Delayed
DL251,Alaska Airlines,JFK,ATL,10-04-2025 13:15,10-04-2025 16:15,180.0,Late Aircraft,10-04-2025,Major impact,Delayed
SW560,United Airlines,DFW,DEN,09-04-2025 16:45,09-04-2025 17:30,45.0,Late Aircraft,09-04-2025,Moderate,Delayed
UA340,United Airlines,DEN,SFO,25-04-2025 17:00,25-04-2025 17:30,30.0,Late Aircraft,25-04-2025,Moderate,Delayed
AS319,American Airlines,SFO,SEA,12-02-2025 17:45,12-02-2025 18:15,30.0,Late Aircraft,12-02-2025,Moderate,Delayed
JB812,American Airlines,PHX,SFO,03-03-2025 00:30,03-03-2025 02:00,90.0,Late Aircraft,03-03-2025,Major impact,Delayed
DL737,JetBlue Airways,JFK,SEA,17-03-2025 18:00,17-03-2025 19:30,90.0,Technical,17-03-2025,Missed connections,Delayed
UA488,United Airlines,DFW,MIA,11-02-2025 10:45,11-02-2025 12:15,90.0,Crew,11-02-2025,Major impact,Delayed
DL959,American Airlines,PHX,ATL,31-01-2025 04:45,31-01-2025 05:15,30.0,Late Aircraft,31-01-2025,Moderate,Delayed
UA271,JetBlue Airways,PHX,LAX,10-04-2025 05:30,10-04-2025 05:35,5.0,Crew,10-04-2025,Minimal,Delayed
SW506,Alaska Airlines,DFW,LAX,17-03-2025 22:15,17-03-2025 23:00,45.0,Security,17-03-2025,Moderate,Delayed
JB901,American Airlines,DEN,PHX,24-02-2025 21:30,24-02-2025 22:30,60.0,Weather,24-02-2025,Moderate,Delayed
SW208,Southwest Airlines,DEN,MIA,01-04-2025 04:45,01-04-2025 07:45,180.0,Crew,01-04-2025,Missed connections,Delayed
SW683,JetBlue Airways,SFO,DEN,04-01-2025 15:30,04-01-2025 16:00,30.0,Crew,04-01-2025,Moderate,Delayed
UA386,JetBlue Airways,ORD,PHX,02-01-2025 16:15,02-01-2025 17:45,90.0,Late Aircraft,02-01-2025,Major impact,Delayed
AS828,Southwest Airlines,SEA,JFK,12-01-2025 09:15,12-01-2025 09:45,30.0,Crew,12-01-2025,Moderate,Delayed
UA584,JetBlue Airways,MIA,DEN,24-02-2025 23:30,25-02-2025 01:30,120.0,Crew,24-02-2025,Missed connections,Delayed
AA838,Delta Air Lines,DEN,LAX,06-04-2025 17:15,06-04-2025 19:15,120.0,Crew,06-04-2025,Missed connections,Delayed
DL403,Delta Air Lines,DEN,ATL,08-02-2025 00:15,08-02-2025 00:20,5.0,Security,08-02-2025,Minimal,Delayed
DL753,Southwest Airlines,LAX,JFK,15-03-2025 09:45,15-03-2025 10:45,60.0,Technical,15-03-2025,Moderate,Delayed
UA982,Southwest Airlines,LAX,ATL,21-02-2025 15:00,21-02-2025 15:05,5.0,Technical,21-02-2025,Minimal,Delayed
SW404,JetBlue Airways,SFO,ORD,14-03-2025 19:00,14-03-2025 19:10,10.0,Technical,14-03-2025,Minimal,Delayed
UA776,American Airlines,ATL,ORD,23-01-2025 17:00,23-01-2025 18:30,90.0,Late Aircraft,23-01-2025,Missed connections,Delayed
AS703,Alaska Airlines,DFW,SEA,15-01-2025 17:15,15-01-2025 18:00,45.0,Technical,15-01-2025,Moderate,Delayed
DL911,United Airlines,PHX,ORD,26-02-2025 03:45,26-02-2025 05:15,90.0,Crew,26-02-2025,Missed connections,Delayed
JB701,American Airlines,ORD,JFK,08-04-2025 05:45,08-04-2025 07:45,120.0,Crew,08-04-2025,Major impact,Delayed
SW750,Southwest Airlines,LAX,MIA,14-02-2025 13:30,14-02-2025 13:40,10.0,Technical,14-02-2025,Minimal,Delayed
AS607,United Airlines,SFO,PHX,05-01-2025 14:00,05-01-2025 15:00,60.0,Weather,05-01-2025,Moderate,Delayed
SW985,JetBlue Airways,JFK,PHX,01-03-2025 13:00,01-03-2025 14:00,60.0,Security,01-03-2025,Moderate,Delayed
AS552,American Airlines,DFW,DEN,12-03-2025 04:30,12-03-2025 06:30,120.0,Weather,12-03-2025,Major impact,Delayed
JB918,Delta Air Lines,ATL,DEN,12-03-2025 00:45,12-03-2025 00:55,10.0,Late Aircraft,12-03-2025,Minimal,Delayed
AS952,Delta Air Lines,SEA,ORD,07-03-2025 22:30,08-03-2025 00:30,120.0,Late Aircraft,07-03-2025,Major impact,Delayed
DL492,Delta Air Lines,PHX,MIA,06-04-2025 04:00,06-04-2025 05:30,90.0,Crew,06-04-2025,Missed connections,Delayed
UA843,United Airlines,PHX,SEA,21-04-2025 04:45,21-04-2025 05:45,60.0,Crew,21-04-2025,Moderate,Delayed
JB486,Southwest Airlines,DEN,DFW,31-03-2025 07:45,31-03-2025 09:15,90.0,Weather,31-03-2025,Missed connections,Delayed
AS930,Southwest Airlines,SFO,ATL,05-03-2025 01:15,05-03-2025 02:15,60.0,Weather,05-03-2025,Moderate,Delayed
SW424,Alaska Airlines,SEA,PHX,05-01-2025 19:00,05-01-2025 19:45,45.0,Technical,05-01-2025,Moderate,Delayed
AA400,United Airlines,DEN,SEA,19-01-2025 07:45,19-01-2025 08:00,15.0,Technical,19-01-2025,Minimal,Delayed
JB991,Southwest Airlines,PHX,DFW,05-03-2025 18:15,05-03-2025 19:00,45.0,Late Aircraft,05-03-2025,Moderate,Delayed
AA342,Southwest Airlines,PHX,DEN,15-03-2025 09:30,15-03-2025 11:00,90.0,Crew,15-03-2025,Major impact,Delayed
AS896,Alaska Airlines,JFK,MIA,17-04-2025 09:15,17-04-2025 10:15,60.0,Technical,17-04-2025,Moderate,Delayed
JB356,Alaska Airlines,ATL,LAX,26-04-2025 20:00,26-04-2025 22:00,120.0,Weather,26-04-2025,Missed connections,Delayed
AA402,United Airlines,SFO,ATL,26-01-2025 04:30,26-01-2025 05:15,45.0,Technical,26-01-2025,Moderate,Delayed
AS841,Alaska Airlines,SFO,PHX,16-02-2025 02:45,16-02-2025 05:45,180.0,Weather,16-02-2025,Missed connections,Delayed
AS788,United Airlines,PHX,SFO,16-04-2025 20:30,16-04-2025 21:00,30.0,Late Aircraft,16-04-2025,Moderate,Delayed
JB435,JetBlue Airways,DFW,LAX,23-03-2025 14:30,23-03-2025 14:40,10.0,Technical,23-03-2025,Minimal,Delayed
AA411,Southwest Airlines,LAX,ATL,31-01-2025 17:15,31-01-2025 18:15,60.0,Security,31-01-2025,Moderate,Delayed
AS467,American Airlines,SFO,ORD,25-01-2025 03:45,25-01-2025 04:15,30.0,Security,25-01-2025,Moderate,Delayed
AA905,United Airlines,DFW,ATL,11-04-2025 18:15,11-04-2025 21:15,180.0,Technical,11-04-2025,Major impact,Delayed
DL436,Delta Air Lines,PHX,JFK,05-02-2025 04:15,05-02-2025 04:30,15.0,Weather,05-02-2025,Minimal,Delayed
AA234,American Airlines,DEN,DFW,17-03-2025 10:00,17-03-2025 10:05,5.0,Technical,17-03-2025,Minimal,Delayed
JB216,Alaska Airlines,LAX,MIA,27-02-2025 11:00,27-02-2025 11:30,30.0,Security,27-02-2025,Moderate,Delayed
AS633,United Airlines,SEA,JFK,08-01-2025 15:45,08-01-2025 15:55,10.0,Late Aircraft,08-01-2025,Minimal,Delayed
SW175,American Airlines,DEN,ATL,09-01-2025 04:30,09-01-2025 07:30,180.0,Crew,09-01-2025,Missed connections,Delayed
JB838,Delta Air Lines,SFO,MIA,24-04-2025 07:45,24-04-2025 09:45,120.0,Late Aircraft,24-04-2025,Missed connections,Delayed
UA537,United Airlines,ORD,SFO,20-01-2025 21:45,20-01-2025 21:55,10.0,Weather,20-01-2025,Minimal,Delayed
AS856,United Airlines,ATL,PHX,08-01-2025 18:30,08-01-2025 20:00,90.0,Crew,08-01-2025,Missed connections,Delayed
AS152,United Airlines,PHX,ORD,15-02-2025 03:15,15-02-2025 05:15,120.0,Technical,15-02-2025,Major impact,Delayed
JB476,American Airlines,ORD,DFW,14-04-2025 13:00,14-04-2025 13:45,45.0,Weather,14-04-2025,Moderate,Delayed
AS880,United Airlines,DEN,SFO,01-01-2025 05:15,01-01-2025 06:45,90.0,Weather,01-01-2025,Major impact,Delayed
AA193,Alaska Airlines,MIA,DFW,18-02-2025 13:45,18-02-2025 14:45,60.0,Crew,18-02-2025,Moderate,Delayed
JB710,American Airlines,JFK,DFW,21-01-2025 19:00,21-01-2025 19:45,45.0,Late Aircraft,21-01-2025,Moderate,Delayed
SW721,Southwest Airlines,SFO,ORD,28-01-2025 16:00,28-01-2025 16:10,10.0,Crew,28-01-2025,Minimal,Delayed
JB598,JetBlue Airways,ORD,JFK,29-01-2025 12:00,29-01-2025 12:45,45.0,Technical,29-01-2025,Moderate,Delayed
UA396,United Airlines,LAX,JFK,05-03-2025 23:45,06-03-2025 01:15,90.0,Security,05-03-2025,Major impact,Delayed
AS925,United Airlines,LAX,SEA,21-04-2025 23:00,22-04-2025 01:00,120.0,Weather,21-04-2025,Missed connections,Delayed
JB571,Alaska Airlines,DEN,LAX,25-02-2025 03:15,25-02-2025 04:45,90.0,Security,25-02-2025,Major impact,Delayed
UA863,United Airlines,DFW,SFO,10-04-2025 05:00,10-04-2025 05:10,10.0,Security,10-04-2025,Minimal,Delayed
UA459,Alaska Airlines,ATL,ORD,14-01-2025 04:30,14-01-2025 04:45,15.0,Weather,14-01-2025,Minimal,Delayed
DL550,American Airlines,SEA,MIA,22-03-2025 09:30,22-03-2025 10:30,60.0,Security,22-03-2025,Moderate,Delayed
SW562,American Airlines,JFK,SFO,17-04-2025 09:00,17-04-2025 09:10,10.0,Security,17-04-2025,Minimal,Delayed
SW573,JetBlue Airways,MIA,JFK,27-02-2025 18:15,27-02-2025 20:15,120.0,Security,27-02-2025,Major impact,Delayed
SW205,United Airlines,LAX,PHX,24-03-2025 05:00,24-03-2025 07:00,120.0,Late Aircraft,24-03-2025,Major impact,Delayed
UA496,Southwest Airlines,DEN,JFK,12-04-2025 20:30,12-04-2025 20:40,10.0,Security,12-04-2025,Minimal,Delayed
AS815,Alaska Airlines,SFO,ATL,18-03-2025 22:00,18-03-2025 23:30,90.0,Crew,18-03-2025,Major impact,Delayed
AS801,JetBlue Airways,LAX,SEA,07-03-2025 11:00,07-03-2025 11:15,15.0,Technical,07-03-2025,Minimal,Delayed
SW296,Delta Air Lines,ATL,DFW,10-01-2025 09:00,10-01-2025 12:00,180.0,Security,10-01-2025,Major impact,Delayed
UA792,Alaska Airlines,DFW,MIA,20-03-2025 09:45,20-03-2025 10:15,30.0,Crew,20-03-2025,Moderate,Delayed
SW955,Delta Air Lines,DEN,MIA,01-03-2025 09:45,01-03-2025 11:15,90.0,Technical,01-03-2025,Major impact,Delayed
DL936,Southwest Airlines,DEN,JFK,23-02-2025 01:45,23-02-2025 02:15,30.0,Late Aircraft,23-02-2025,Moderate,Delayed
JB844,JetBlue Airways,MIA,SFO,15-01-2025 09:15,15-01-2025 09:20,5.0,Technical,15-01-2025,Minimal,Delayed
JB568,American Airlines,LAX,MIA,18-03-2025 17:00,18-03-2025 17:30,30.0,Technical,18-03-2025,Moderate,Delayed
AA729,United Airlines,DFW,SEA,24-01-2025 21:00,24-01-2025 22:00,60.0,Weather,24-01-2025,Moderate,Delayed
JB619,JetBlue Airways,MIA,JFK,19-02-2025 15:00,19-02-2025 16:00,60.0,Crew,19-02-2025,Moderate,Delayed
AS590,Alaska Airlines,ATL,DFW,09-01-2025 22:45,09-01-2025 23:15,30.0,Weather,09-01-2025,Moderate,Delayed
AA423,United Airlines,MIA,SFO,15-04-2025 17:45,15-04-2025 18:15,30.0,Crew,15-04-2025,Moderate,Delayed
AA540,JetBlue Airways,ATL,PHX,07-02-2025 10:00,07-02-2025 10:45,45.0,Crew,07-02-2025,Moderate,Delayed
AS536,Delta Air Lines,SEA,DEN,27-02-2025 01:30,27-02-2025 03:00,90.0,Crew,27-02-2025,Major impact,Delayed
AS515,United Airlines,MIA,ATL,04-01-2025 04:45,04-01-2025 04:55,10.0,Technical,04-01-2025,Minimal,Delayed
AA687,Delta Air Lines,MIA,DEN,20-02-2025 10:30,20-02-2025 10:40,10.0,Weather,20-02-2025,Minimal,Delayed
SW630,Southwest Airlines,MIA,LAX,03-02-2025 08:45,03-02-2025 09:30,45.0,Late Aircraft,03-02-2025,Moderate,Delayed
SW126,United Airlines,MIA,DEN,01-03-2025 17:15,01-03-2025 17:25,10.0,Weather,01-03-2025,Minimal,Delayed
AS836,Southwest Airlines,MIA,SFO,09-04-2025 13:00,09-04-2025 14:00,60.0,Weather,09-04-2025,Moderate,Delayed
JB989,American Airlines,LAX,PHX,20-01-2025 09:15,20-01-2025 09:45,30.0,Crew,20-01-2025,Moderate,Delayed
JB390,American Airlines,ORD,DFW,23-03-2025 17:30,23-03-2025 18:15,45.0,Security,23-03-2025,Moderate,Delayed
AA183,American Airlines,PHX,ORD,25-03-2025 06:45,25-03-2025 06:50,5.0,Late Aircraft,25-03-2025,Minimal,Delayed
JB396,Alaska Airlines,ORD,MIA,01-02-2025 21:45,01-02-2025 21:55,10.0,Weather,01-02-2025,Minimal,Delayed
UA508,Delta Air Lines,DEN,PHX,13-03-2025 03:30,13-03-2025 03:40,10.0,Crew,13-03-2025,Minimal,Delayed
DL199,American Airlines,ORD,SEA,21-04-2025 19:45,21-04-2025 20:00,15.0,Crew,21-04-2025,Minimal,Delayed
AA502,JetBlue Airways,SEA,DFW,28-01-2025 18:30,28-01-2025 19:15,45.0,Late Aircraft,28-01-2025,Moderate,Delayed
AS788,Southwest Airlines,ORD,PHX,02-01-2025 03:45,02-01-2025 04:30,45.0,Crew,02-01-2025,Moderate,Delayed
UA146,Southwest Airlines,JFK,PHX,25-01-2025 11:30,25-01-2025 14:30,180.0,Late Aircraft,25-01-2025,Missed connections,Delayed
UA873,Delta Air Lines,DFW,PHX,21-02-2025 16:00,21-02-2025 16:15,15.0,Crew,21-02-2025,Minimal,Delayed
JB567,Delta Air Lines,PHX,MIA,18-01-2025 10:30,18-01-2025 11:15,45.0,Security,18-01-2025,Moderate,Delayed
JB645,Southwest Airlines,PHX,ORD,02-03-2025 00:30,02-03-2025 00:40,10.0,Late Aircraft,02-03-2025,Minimal,Delayed
AA822,Delta Air Lines,MIA,DFW,13-03-2025 10:45,13-03-2025 11:45,60.0,Technical,13-03-2025,Moderate,Delayed
UA330,United Airlines,ORD,DFW,30-03-2025 22:45,30-03-2025 23:45,60.0,Security,30-03-2025,Moderate,Delayed
JB377,JetBlue Airways,ORD,ATL,14-01-2025 19:15,14-01-2025 22:15,180.0,Technical,14-01-2025,Major impact,Delayed
DL516,Alaska Airlines,SEA,MIA,25-03-2025 06:30,25-03-2025 06:35,5.0,Weather,25-03-2025,Minimal,Delayed
SW756,JetBlue Airways,MIA,SEA,24-04-2025 04:45,24-04-2025 04:55,10.0,Crew,24-04-2025,Minimal,Delayed
SW763,United Airlines,ATL,JFK,05-04-2025 10:30,05-04-2025 11:00,30.0,Technical,05-04-2025,Moderate,Delayed
AS515,Southwest Airlines,MIA,DEN,12-01-2025 12:00,12-01-2025 12:15,15.0,Late Aircraft,12-01-2025,Minimal,Delayed
DL106,United Airlines,SFO,DFW,27-02-2025 08:30,27-02-2025 08:35,5.0,Crew,27-02-2025,Minimal,Delayed
AS341,American Airlines,LAX,MIA,09-02-2025 05:45,09-02-2025 06:30,45.0,Weather,09-02-2025,Moderate,Delayed
UA476,JetBlue Airways,DFW,ORD,18-01-2025 15:15,18-01-2025 16:15,60.0,Late Aircraft,18-01-2025,Moderate,Delayed
SW875,JetBlue Airways,DFW,ORD,29-03-2025 19:00,29-03-2025 22:00,180.0,Crew,29-03-2025,Major impact,Delayed
AA163,JetBlue Airways,MIA,DFW,15-03-2025 17:15,15-03-2025 20:15,180.0,Late Aircraft,15-03-2025,Major impact,Delayed
AS697,Southwest Airlines,LAX,PHX,27-02-2025 01:45,27-02-2025 03:15,90.0,Late Aircraft,27-02-2025,Major impact,Delayed
AS926,United Airlines,JFK,SEA,02-02-2025 00:15,02-02-2025 00:20,5.0,Late Aircraft,02-02-2025,Minimal,Delayed
AA654,American Airlines,LAX,MIA,05-01-2025 09:45,05-01-2025 10:00,15.0,Late Aircraft,05-01-2025,Minimal,Delayed
SW559,Southwest Airlines,SFO,LAX,29-03-2025 21:15,29-03-2025 22:15,60.0,Weather,29-03-2025,Moderate,Delayed
AS657,Southwest Airlines,MIA,SFO,16-04-2025 07:15,16-04-2025 07:30,15.0,Crew,16-04-2025,Minimal,Delayed
AS883,American Airlines,JFK,SEA,20-03-2025 00:15,20-03-2025 00:25,10.0,Security,20-03-2025,Minimal,Delayed
JB788,Alaska Airlines,JFK,ORD,05-04-2025 01:45,05-04-2025 04:45,180.0,Technical,05-04-2025,Major impact,Delayed
UA339,Alaska Airlines,PHX,DEN,15-03-2025 19:30,15-03-2025 19:45,15.0,Security,15-03-2025,Minimal,Delayed
UA381,American Airlines,MIA,ATL,22-03-2025 21:45,22-03-2025 21:50,5.0,Crew,22-03-2025,Minimal,Delayed
AS490,JetBlue Airways,DEN,SEA,22-02-2025 04:30,22-02-2025 07:30,180.0,Late Aircraft,22-02-2025,Major impact,Delayed
JB841,Alaska Airlines,MIA,DFW,03-03-2025 06:30,03-03-2025 06:35,5.0,Technical,03-03-2025,Minimal,Delayed
AS220,Alaska Airlines,SEA,DFW,31-03-2025 19:15,31-03-2025 19:45,30.0,Security,31-03-2025,Moderate,Delayed
UA489,Southwest Airlines,MIA,DEN,09-02-2025 08:30,09-02-2025 10:30,120.0,Late Aircraft,09-02-2025,Major impact,Delayed
UA256,Delta Air Lines,DEN,DFW,18-02-2025 18:15,18-02-2025 19:15,60.0,Crew,18-02-2025,Moderate,Delayed
SW840,Alaska Airlines,SEA,MIA,22-01-2025 23:30,23-01-2025 02:30,180.0,Late Aircraft,22-01-2025,Major impact,Delayed
SW180,United Airlines,SFO,MIA,14-03-2025 07:15,14-03-2025 07:25,10.0,Weather,14-03-2025,Minimal,Delayed
SW486,JetBlue Airways,SEA,JFK,23-03-2025 00:15,23-03-2025 01:45,90.0,Crew,23-03-2025,Major impact,Delayed
AA335,Delta Air Lines,PHX,SEA,04-02-2025 01:00,04-02-2025 01:45,45.0,Security,04-02-2025,Moderate,Delayed
JB709,Southwest Airlines,DEN,JFK,23-03-2025 08:45,23-03-2025 09:45,60.0,Security,23-03-2025,Moderate,Delayed
AA374,Delta Air Lines,SFO,ATL,05-04-2025 12:30,05-04-2025 12:40,10.0,Weather,05-04-2025,Minimal,Delayed
SW468,United Airlines,LAX,DFW,12-01-2025 05:45,12-01-2025 08:45,180.0,Security,12-01-2025,Missed connections,Delayed
AA462,JetBlue Airways,LAX,SFO,21-04-2025 12:00,21-04-2025 13:30,90.0,Weather,21-04-2025,Major impact,Delayed
DL801,Southwest Airlines,ATL,DFW,04-02-2025 09:30,04-02-2025 09:40,10.0,Technical,04-02-2025,Minimal,Delayed
SW406,Southwest Airlines,LAX,SFO,02-02-2025 07:45,02-02-2025 08:15,30.0,Late Aircraft,02-02-2025,Moderate,Delayed
UA106,Southwest Airlines,DEN,SEA,13-04-2025 10:45,13-04-2025 11:00,15.0,Crew,13-04-2025,Minimal,Delayed
JB900,Delta Air Lines,DEN,SEA,05-02-2025 12:30,05-02-2025 13:00,30.0,Security,05-02-2025,Moderate,Delayed
DL798,JetBlue Airways,JFK,MIA,01-05-2025 22:15,01-05-2025 23:00,45.0,Weather,01-05-2025,Moderate,Delayed
AA559,JetBlue Airways,SEA,SFO,10-03-2025 16:45,10-03-2025 17:45,60.0,Security,10-03-2025,Moderate,Delayed
AA211,Delta Air Lines,DEN,ATL,24-03-2025 19:00,24-03-2025 20:30,90.0,Crew,24-03-2025,Missed connections,Delayed
AA364,Delta Air Lines,MIA,PHX,13-03-2025 18:15,13-03-2025 19:45,90.0,Late Aircraft,13-03-2025,Major impact,Delayed
UA419,United Airlines,SEA,DFW,08-03-2025 15:30,08-03-2025 17:30,120.0,Late Aircraft,08-03-2025,Missed connections,Delayed
AA929,Alaska Airlines,LAX,JFK,19-04-2025 10:00,19-04-2025 10:15,15.0,Technical,19-04-2025,Minimal,Delayed
JB263,United Airlines,MIA,SFO,01-03-2025 07:45,01-03-2025 08:00,15.0,Late Aircraft,01-03-2025,Minimal,Delayed
AS728,Delta Air Lines,SEA,SFO,19-02-2025 00:15,19-02-2025 00:25,10.0,Security,19-02-2025,Minimal,Delayed
JB291,United Airlines,DEN,DFW,28-02-2025 03:30,28-02-2025 05:30,120.0,Security,28-02-2025,Missed connections,Delayed
UA729,JetBlue Airways,LAX,DFW,10-02-2025 03:15,10-02-2025 03:30,15.0,Crew,10-02-2025,Minimal,Delayed
JB497,Southwest Airlines,PHX,ATL,15-03-2025 12:45,15-03-2025 15:45,180.0,Technical,15-03-2025,Major impact,Delayed
DL291,United Airlines,SEA,JFK,21-04-2025 11:00,21-04-2025 11:30,30.0,Late Aircraft,21-04-2025,Moderate,Delayed
JB768,Southwest Airlines,SFO,MIA,23-02-2025 22:45,23-02-2025 22:55,10.0,Security,23-02-2025,Minimal,Delayed
SW662,JetBlue Airways,LAX,ATL,04-02-2025 17:30,04-02-2025 17:35,5.0,Late Aircraft,04-02-2025,Minimal,Delayed
SW204,Alaska Airlines,DFW,DEN,22-04-2025 01:45,22-04-2025 01:55,10.0,Late Aircraft,22-04-2025,Minimal,Delayed
AA894,Delta Air Lines,DFW,SFO,21-04-2025 22:45,21-04-2025 23:00,15.0,Technical,21-04-2025,Minimal,Delayed
AA683,United Airlines,MIA,ORD,18-03-2025 17:15,18-03-2025 18:00,45.0,Crew,18-03-2025,Moderate,Delayed
DL355,Delta Air Lines,DEN,DFW,08-04-2025 21:45,08-04-2025 22:30,45.0,Late Aircraft,08-04-2025,Moderate,Delayed
AA748,American Airlines,SFO,PHX,06-04-2025 08:30,06-04-2025 10:30,120.0,Crew,06-04-2025,Major impact,Delayed
AS195,Alaska Airlines,SEA,DEN,19-04-2025 02:45,19-04-2025 04:15,90.0,Technical,19-04-2025,Missed connections,Delayed
AA201,Alaska Airlines,SEA,JFK,16-01-2025 05:45,16-01-2025 07:15,90.0,Technical,16-01-2025,Major impact,Delayed
UA262,United Airlines,LAX,SFO,02-02-2025 02:30,02-02-2025 02:45,15.0,Weather,02-02-2025,Minimal,Delayed
UA843,Alaska Airlines,DFW,SEA,25-03-2025 02:00,25-03-2025 04:00,120.0,Weather,25-03-2025,Major impact,Delayed
DL589,American Airlines,DFW,SEA,12-01-2025 23:00,13-01-2025 00:00,60.0,Crew,12-01-2025,Moderate,Delayed
DL756,Alaska Airlines,ATL,LAX,09-03-2025 18:00,09-03-2025 18:15,15.0,Late Aircraft,09-03-2025,Minimal,Delayed
UA310,JetBlue Airways,PHX,MIA,25-01-2025 23:45,25-01-2025 23:50,5.0,Technical,25-01-2025,Minimal,Delayed
JB530,United Airlines,MIA,ATL,08-04-2025 15:00,08-04-2025 15:10,10.0,Weather,08-04-2025,Minimal,Delayed
